epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.64107,1.09815,2.74953,1.47855,0.56743,0.85,0.8784,0.63413,1.65152,1.03281,1.38305,0,0,0
2,4.97164,1.16342,2.77788,1.4743,0.55693,0.85,0.8873,0.61849,1.66679,1.02633,1.3826,1.17822e-06,1.17822e-06,1.17822e-06
3,5.31899,1.08928,2.49696,1.2155,0.55903,0.85,0.85031,0.61527,1.67985,1.01361,1.38644,2.33288e-06,2.33288e-06,2.33288e-06
4,5.62737,1.16406,2.79291,1.48524,0.54269,0.85,0.85767,0.63734,1.66838,0.98999,1.36773,3.46397e-06,3.46397e-06,3.46397e-06
5,5.98517,1.20963,2.46662,1.61704,0.5481,0.85,0.85778,0.63682,1.66656,1.01222,1.36503,4.5715e-06,4.5715e-06,4.5715e-06
